Entry No.,Shg Name,Error
1,Chickwawa,"(1062, ""Duplicate entry 'Chickwawa-135842' for key 'people_persongroup_group_name_543d0215d01d2c31_uniq'"")"
2,dfafa,"(1062, ""Duplicate entry 'dfafa-135851' for key 'people_persongroup_group_name_543d0215d01d2c31_uniq'"")"
